accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.7981105446815491,0.639460027217865,0.5045976638793945,0.8308823704719543,0.7711020112037659,0.40093955397605896
0.8173547983169556,0.7467321157455444,0.42533648014068604,0.843137264251709,0.8102885484695435,0.38140514492988586
0.8481455445289612,0.8055182099342346,0.36896923184394836,0.8553921580314636,0.8351934552192688,0.3466451168060303
0.8439468145370483,0.8098192811012268,0.36914318799972534,0.8651960492134094,0.838975727558136,0.34202057123184204
0.8596920967102051,0.8375276327133179,0.34001243114471436,0.8676470518112183,0.8511698246002197,0.3270443081855774
0.8614415526390076,0.8466523885726929,0.33322447538375854,0.875,0.8505290746688843,0.3249285817146301
0.8705388307571411,0.8663466572761536,0.31351238489151,0.8725489974021912,0.8484208583831787,0.3375755250453949
0.8796361088752747,0.8727906346321106,0.30563488602638245,0.8725489974021912,0.8525959253311157,0.32461902499198914
0.8778866529464722,0.8685817718505859,0.3092408776283264,0.8651960492134094,0.8587343096733093,0.31535717844963074
0.873337984085083,0.8801178932189941,0.30016663670539856,0.8700980544090271,0.8580316305160522,0.31898871064186096
0.8838348388671875,0.8811579346656799,0.29507219791412354,0.8700980544090271,0.8607597947120667,0.32652124762535095
0.8817355036735535,0.8798730969429016,0.2965434789657593,0.8700980544090271,0.8584036827087402,0.31934091448783875
0.8876836895942688,0.9036241173744202,0.2740812599658966,0.8676470518112183,0.863653302192688,0.32255542278289795
0.8827851414680481,0.8875237107276917,0.2899526059627533,0.875,0.863942563533783,0.3181062936782837
0.8932819962501526,0.9010680317878723,0.272356241941452,0.8700980544090271,0.8655959963798523,0.313239723443985
0.8915325403213501,0.9035986065864563,0.26965343952178955,0.8700980544090271,0.8738632798194885,0.30734601616859436
0.8876836895942688,0.901145875453949,0.2728757858276367,0.8651960492134094,0.8707217574119568,0.3097156882286072
0.8887333869934082,0.9036967754364014,0.27198487520217896,0.8676470518112183,0.8783068656921387,0.2978168725967407
0.8925822377204895,0.9008892178535461,0.272794634103775,0.8676470518112183,0.8746899962425232,0.30368173122406006
0.8960811495780945,0.9167083501815796,0.25624868273735046,0.8676470518112183,0.8693782687187195,0.323219895362854
0.9013295769691467,0.9217422604560852,0.24681256711483002,0.8725489974021912,0.8711763620376587,0.31231144070625305
0.8985304236412048,0.9221906065940857,0.24819232523441315,0.8700980544090271,0.8794436454772949,0.2998187243938446
0.9027291536331177,0.9208077788352966,0.24622419476509094,0.8774510025978088,0.8735325932502747,0.3029423952102661
0.8999300003051758,0.9194254279136658,0.24991388618946075,0.875,0.8787409067153931,0.3067125380039215
0.905178427696228,0.9175876379013062,0.2509225606918335,0.8872548937797546,0.8771701455116272,0.29914239048957825
